ReactionID,minFlux,maxFlux
MAR05389,0,0.159086395
MAR06515,0,0.308214244
MAR06518,0,1.01
MAR06519,0,0
MAR06520,0,0
MAR08062,0,0
MAR08066,0,0
MAR08067,0,0
MAR08068,0,0
MAR08069,0,0
MAR08641,0.001601825,0.001779806
MAR03868,0,0
MAR03869,0,0
MAR03933,0,0
MAR03937,0,1.008398175
MAR04116,0,0
MAR04120,0,0.5
MAR04121,0,0
MAR04175,0,0.88019874
MAR04324,0,0.954920639
MAR04328,0,0.88019874
MAR04329,0,1.01
MAR04708,0,0.954920639
MAR08769,0,1
MAR08770,0,1
MAR04078,0,0.096178675
MAR04079,0,0.096178675
MAR04425,0,0
MAR04427,0,0
MAR04689,0,0.226017583
MAR04735,0,0.422791563
MAR07993,0,0
MAR07128,0,0
MAR07129,0,0
MAR07130,0,0
MAR07131,0,0
MAR07133,0,0
MAR07140,0,0
MAR07141,0,0
MAR03748,0,0.011175493
MAR03751,0,1000
MAR03753,0,0.018077252
MAR03755,0,0.018077252
MAR03759,0,0
MAR03763,0,0
MAR03767,0,0.324093906
MAR03769,-1000,0
MAR03773,0,0.24374135
MAR03775,0,0.24374135
MAR03780,0,0.179917812
MAR03783,0,1000
MAR03785,0,0.179917812
MAR03796,0,0
MAR03823,0,0.179917812
MAR06416,0,0
MAR03988,0,0
MAR04124,0,0.037740965
MAR04158,-8.31E-18,0.915093634
MAR04159,-0.905164836,0.014787245
MAR04299,0,1.106299738
MAR04300,0,0.386439763
MAR04494,0,1.01
MAR04524,0,0.758674168
MAR04525,0,0.429204294
MAR04526,0,0.740589412
MAR04527,-2.285550053,-1.064160303
MAR04528,0,0
MAR04529,0,0
MAR04530,0,0
MAR04532,0,0
MAR04536,0,0
MAR04628,0,1.185440992
MAR04629,0,1.085981994
MAR04631,0,0.915093634
MAR08371,0,0.392694397
MAR08373,1.064160303,2.740589412
MAR08377,0,1.398341905
MAR05130,0.033638325,0.041088653
MAR05131,0.097711324,0.111397334
MAR05132,0.064073,0.072940571
MAR05133,0.01601825,0.022785029
MAR05134,0.04805475,0.072268317
MAR05135,0.00961095,0.017571867
MAR05136,0.04164745,0.049993399
MAR05137,0.072082125,0.088845364
MAR05138,0.062471175,0.072820366
MAR05139,0.0256292,0.029410635
MAR05140,0.00961095,0.024511607
MAR05141,0.124942349,0.14356817
MAR05142,0.0576657,0.07138206
MAR05143,0.02883285,0.03814576
MAR05145,0.02883285,0.036436188
