ReactionID,Compartment,MinFlux,MaxFlux
MAR04103,Pyruvate metabolism,0,0.804704850648029
MAR04193,Pyruvate metabolism,0,1000
MAR08497,Pyruvate metabolism,0,0.399976071899147
MAR08500,Pyruvate metabolism,0,0.399976071900646
MAR08502,Pyruvate metabolism,-0.0139819585798705,0.399976071899148
MAR08503,Pyruvate metabolism,0,0.399976071898828
MAR08504,Pyruvate metabolism,0,0.0139843516892193
MAR08506,Pyruvate metabolism,0,0.399976071900255
MAR08507,Pyruvate metabolism,0,1000
MAR08508,Pyruvate metabolism,0,1000
MAR08509,Pyruvate metabolism,0,1000
MAR08511,Pyruvate metabolism,0,0.0139819546797639
MAR08514,Pyruvate metabolism,0,0.0139819546799913
MAR08516,Pyruvate metabolism,0,0.399969002210923
MAR04280,Pyruvate metabolism,-0.2438425637595,1000
MAR00153,Propanoate metabolism,0,0.399981002925695
MAR03212,Propanoate metabolism,0,0.0210276785250576
MAR03797,Propanoate metabolism,-1000,1000
MAR03800,Propanoate metabolism,0,0.01
MAR04105,Propanoate metabolism,0,0.79993661874964
MAR04106,Propanoate metabolism,0,0.799936618760585
MAR04107,Propanoate metabolism,0,0
MAR04282,Propanoate metabolism,0,0.0210249611682266
MAR04331,Propanoate metabolism,-0.399968292986333,0
MAR04459,Propanoate metabolism,0,0.399969660221486
MAR04460,Propanoate metabolism,-1000,1000
MAR04497,Propanoate metabolism,0,0.0210248002897354
MAR04741,Propanoate metabolism,0,0.0210248002874128
MAR09804,Propanoate metabolism,0,0
MAR01434,Butanoate metabolism,-0.00419915935578336,0.0145280043134282
MAR01436,Butanoate metabolism,0,0.0145280043142857
MAR03163,Butanoate metabolism,0,0.0220355667264585
MAR04604,Butanoate metabolism,0,0.014959266313559
MAR05351,Butanoate metabolism,0,0.00999999999999091
MAR04052,Pentose phosphate pathway,0,0.403377247867013
MAR04304,Pentose phosphate pathway,0,0.000176537412674371
MAR04306,Pentose phosphate pathway,-0.417608077114796,1000
MAR04350,Pentose phosphate pathway,0,0
MAR04351,Pentose phosphate pathway,0,0
MAR04352,Pentose phosphate pathway,-0.439947784299402,0.0264950666666308
MAR04354,Pentose phosphate pathway,-0.659921676473225,0.410474317171293
MAR04398,Pentose phosphate pathway,-0.01,0.65985081209511
MAR04404,Pentose phosphate pathway,-0.219973970744976,0.141106881144392
