ReactionID,minFlux,maxFlux
MAR05387,0,0.159909431
MAR05389,0,0.159909431
MAR06515,0,0.309793832
MAR06518,0,1.01
MAR06519,0,0
MAR06520,0,0
MAR08062,0,0.274543328
MAR08066,0,0
MAR08067,0,0
MAR08068,0,0
MAR08069,0,0
MAR08641,0.001610107,0.001789008
MAR03868,0,0
MAR03869,0,0
MAR03933,0,0
MAR03937,0,1.008389893
MAR04116,0,0
MAR04120,0,0.5
MAR04121,0,0
MAR04175,0,0.883827231
MAR04324,0,0.960028321
MAR04328,0,0.883827231
MAR04329,0,1.01
MAR04708,0,0.960028321
MAR08769,0,1
MAR08770,0,1
MAR04078,0,0.096554669
MAR04079,0,0.096554669
MAR04425,0,0
MAR04427,0,0
MAR04689,0,0.227186891
MAR04735,0,0.424852774
MAR07993,0,0
MAR07128,0,0
MAR07129,0,0
MAR07130,0,0
MAR07131,0,0
MAR07133,0,0
MAR07140,-2.65E-33,0
MAR07141,0,0
MAR03748,0,0.011233309
MAR03751,0,1000
MAR03753,0,0.018135184
MAR03755,0,0.018135184
MAR03759,0,0
MAR03763,0,0
MAR03767,0,0.324307911
MAR03769,-1000,0
MAR03773,0,0.245002352
MAR03775,0,0.245002352
MAR03780,0,0.180213284
MAR03783,0,1000
MAR03785,0,0.180213284
MAR03796,0,0
MAR03823,0,0.180213284
MAR06416,0,0
MAR03988,0,0
MAR04124,0,0.03793198
MAR04158,-3.00E-16,0.919696533
MAR04159,-0.909217811,0.014862086
MAR04299,0,1.109952536
MAR04300,0,0.386704141
MAR04494,0,1.01
MAR04524,0,0.76285492
MAR04525,0,0.431126409
MAR04526,0,0.743905481
MAR04527,-2.286995306,-1.062471623
MAR04528,0,0
MAR04529,0,0
MAR04530,0,0
MAR04532,0,0
MAR04536,0,0
MAR04628,0,0.644241988
MAR04629,0,0
MAR04631,-4.99E-18,0.919696533
MAR08371,0,0.394726012
MAR08373,1.062471623,2.743905481
MAR08377,0,1.406962356
MAR05130,0.033812252,0.041301125
MAR05131,0.098216541,0.111973356
MAR05132,0.064404289,0.073317737
MAR05133,0.016101072,0.02290286
MAR05134,0.048303217,0.072642054
MAR05135,0.009660643,0.017662746
MAR05136,0.041862788,0.050251915
MAR05137,0.072454826,0.08930479
MAR05138,0.062794182,0.073196916
MAR05139,0.025761716,0.029562715
MAR05140,0.009660643,0.024638389
MAR05141,0.125588364,0.144310547
MAR05142,0.05796386,0.071751183
MAR05143,0.02898193,0.038343021
